fichier;titre;fichier Wikimedia Commons;page source (auteur et licence)
"lycee/seconde_13_diagramme-des-ensembles-de-nombres-n-z-q-r.svg";"Diagramme des ensembles de nombres (N ⊂ Z ⊂ Q ⊂ R)";"Set_of_real_numbers_(diagram).svg";"https://commons.wikimedia.org/wiki/File:Set_of_real_numbers_(diagram).svg"
"lycee/seconde_14_le-vecteur-ab.svg";"Le vecteur AB";"Vector_from_A_to_B.svg";"https://commons.wikimedia.org/wiki/File:Vector_from_A_to_B.svg"
"lycee/seconde_15_cercle-dans-un-repere-cartesien.svg";"Cercle dans un repère cartésien";"Cartesian-coordinate-system-with-circle.svg";"https://commons.wikimedia.org/wiki/File:Cartesian-coordinate-system-with-circle.svg"
"lycee/premiere_algebre_07_equation-aux-valeurs-propres.svg";"Équation aux valeurs propres";"Eigenvalue_equation.svg";"https://commons.wikimedia.org/wiki/File:Eigenvalue_equation.svg"
"lycee/premiere_algebre_08_table-de-cayley-du-groupe-symetrique-s3.svg";"Table de Cayley du groupe symétrique S3";"Cayley_table_Group_S3_RK01.svg";"https://commons.wikimedia.org/wiki/File:Cayley_table_Group_S3_RK01.svg"
"lycee/premiere_analyse_09_le-theoreme-des-accroissements-finis.svg";"Le théorème des accroissements finis";"Mvt2.svg";"https://commons.wikimedia.org/wiki/File:Mvt2.svg"
"lycee/premiere_geometrie_07_distance-d-un-point-a-une-droite.svg";"Distance d'un point à une droite";"Distance_point_line.svg";"https://commons.wikimedia.org/wiki/File:Distance_point_line.svg"
"lycee/premiere_geometrie_08_fonctions-trigonometriques-sur-le-cercle-unite.svg";"Fonctions trigonométriques sur le cercle unité";"Circle-trig6.svg";"https://commons.wikimedia.org/wiki/File:Circle-trig6.svg"
"lycee/premiere_geometrie_09_theoreme-de-pythagore.svg";"Théorème de Pythagore";"Pythagorean-theorem.svg";"https://commons.wikimedia.org/wiki/File:Pythagorean-theorem.svg"
"lycee/premiere_probabilites_07_diagramme-de-probabilite-conditionnelle.svg";"Diagramme de probabilité conditionnelle";"Conditional_probability.svg";"https://commons.wikimedia.org/wiki/File:Conditional_probability.svg"
"lycee/premiere_probabilites_08_fonction-de-masse-d-une-loi-binomiale.svg";"Fonction de masse d'une loi binomiale";"Binomial_distribution_pmf.svg";"https://commons.wikimedia.org/wiki/File:Binomial_distribution_pmf.svg"
"lycee/premiere_probabilites_09_intersection-de-deux-ensembles-a-et-b.svg";"Intersection de deux ensembles A et B";"Venn_A_intersect_B.svg";"https://commons.wikimedia.org/wiki/File:Venn_A_intersect_B.svg"
"lycee/terminale_09_l-integrale-comme-aire-sous-la-courbe.svg";"L'intégrale comme aire sous la courbe";"Integral_as_region_under_curve.svg";"https://commons.wikimedia.org/wiki/File:Integral_as_region_under_curve.svg"
"lycee/terminale_10_representation-d-un-nombre-complexe-diagramme-d-argand.svg";"Représentation d'un nombre complexe (diagramme d'Argand)";"Complex_number_illustration.svg";"https://commons.wikimedia.org/wiki/File:Complex_number_illustration.svg"
"lycee/terminale_11_formule-d-euler-dans-le-plan-complexe.svg";"Formule d'Euler dans le plan complexe";"Euler's_formula.svg";"https://commons.wikimedia.org/wiki/File:Euler%27s_formula.svg"
"lycee/terminale_12_le-groupe-cyclique-des-heures-d-une-horloge.svg";"Le groupe cyclique des heures d'une horloge";"Clock_group.svg";"https://commons.wikimedia.org/wiki/File:Clock_group.svg"
"lycee/terminale_13_principe-du-chiffrement-a-cle-publique.svg";"Principe du chiffrement à clé publique";"Public_key_encryption.svg";"https://commons.wikimedia.org/wiki/File:Public_key_encryption.svg"
"lycee/terminale_14_le-determinant-comme-volume-d-un-parallelepipede.svg";"Le déterminant comme volume d'un parallélépipède";"Determinant_parallelepiped.svg";"https://commons.wikimedia.org/wiki/File:Determinant_parallelepiped.svg"
"lycee/terminale_15_un-graphe-oriente.svg";"Un graphe orienté";"Directed.svg";"https://commons.wikimedia.org/wiki/File:Directed.svg"
"lycee/terminale_16_polygone-regulier-annote-hexagone.svg";"Polygone régulier annoté (hexagone)";"Regular_polygon_6_annotated.svg";"https://commons.wikimedia.org/wiki/File:Regular_polygon_6_annotated.svg"
"lycee/terminale_17_un-arbre-avl-equilibre.svg";"Un arbre AVL équilibré";"AVLtreef.svg";"https://commons.wikimedia.org/wiki/File:AVLtreef.svg"
"L1/l1_60_la-fonction-sinus-et-son-polynome-de-taylor.svg";"La fonction sinus et son polynôme de Taylor";"Taylorsine.svg";"https://commons.wikimedia.org/wiki/File:Taylorsine.svg"
"L1/l1_61_image-d-une-application-lineaire-dans-le-plan.svg";"Image d'une application linéaire dans le plan";"Image_of_map_f_in_real_plane.svg";"https://commons.wikimedia.org/wiki/File:Image_of_map_f_in_real_plane.svg"
"L2/l2_09_les-trois-sections-coniques-d-un-double-cone.svg";"Les trois sections coniques d'un double cône";"Conic_sections_with_plane.svg";"https://commons.wikimedia.org/wiki/File:Conic_sections_with_plane.svg"
"L2/l2_10_boules-unites-pour-differentes-normes.svg";"Boules unités pour différentes normes";"Vector_norms.svg";"https://commons.wikimedia.org/wiki/File:Vector_norms.svg"
"L3/l3_09_graphe-de-la-fonction-gamma.svg";"Graphe de la fonction Gamma";"Gamma_plot.svg";"https://commons.wikimedia.org/wiki/File:Gamma_plot.svg"
